Unnamed: 0,city,intersection_id,lane,num_lane,slope,lane_length,speed_limit,raw_AADT_per_lane,latitude,longitude,signal_time_ratio,phase_count
0,salt-lake-city,0,A,2,0.0268224,454.67034014556657,15.6464,10822.0,40.76234509999999,-111.83562729999998,0.6962025316455697,2.0
1,salt-lake-city,0,B,2,0.0451104,637.8984894844739,13.4112,2896.75,40.76234509999999,-111.83562729999998,0.189873417721519,1.0
2,salt-lake-city,0,C,2,-0.00762,476.9743259326773,15.6464,11885.5,40.76234509999999,-111.83562729999998,0.6962025316455697,2.0
3,salt-lake-city,0,D,1,-0.0597408,134.2806488179382,11.176,11783.5,40.76234509999999,-111.83562729999998,0.189873417721519,1.0
4,salt-lake-city,1,A,3,-0.0109728,380.5219545843521,13.4112,952.0,40.72584265002677,-111.84800729999998,0.4430379746835443,2.0
5,salt-lake-city,1,B,1,0.003048,700.0,8.9408,2981.0,40.72584265002677,-111.84800729999998,0.4430379746835443,1.0
6,salt-lake-city,1,C,4,0.0234696,394.2427141107032,13.4112,2361.0,40.72584265002677,-111.84800729999998,0.4430379746835443,2.0
7,salt-lake-city,1,D,1,0.0134112,117.42600932381862,11.176,19043.0,40.72584265002677,-111.84800729999998,0.4430379746835443,1.0
8,salt-lake-city,2,A,2,-0.0429767999999999,163.6029751330113,11.176,863.0,40.7728261,-111.87756450000002,0.8860759493670886,2.0
9,salt-lake-city,2,B,0,-0.0027432,166.88247530596885,11.176,2589.0,40.7728261,-111.87756450000002,0.0,0.0
10,salt-lake-city,2,C,1,-0.077724,166.27097381655352,11.176,4756.0,40.7728261,-111.87756450000002,0.4430379746835443,2.0
11,salt-lake-city,2,D,1,-0.0621792,168.34981517942833,11.176,20347.0,40.7728261,-111.87756450000002,0.6962025316455697,2.0
12,salt-lake-city,3,A,3,0.0661416,318.1674407059449,11.176,7690.0,40.76934459999999,-111.879654,0.43478260869565216,2.0
13,salt-lake-city,3,B,2,0.0170688,265.4970235303434,13.4112,6349.0,40.76934459999999,-111.879654,0.6521739130434783,2.0
14,salt-lake-city,3,C,2,0.0170688,233.18096940366095,13.4112,6349.0,40.76934459999999,-111.879654,0.6521739130434783,2.0
15,salt-lake-city,4,A,3,-0.0234696,320.677933024468,13.4112,2431.2,40.76716955000003,-111.8795504,0.4430379746835443,2.0
16,salt-lake-city,4,B,2,0.0316992,316.78369904075976,11.176,2651.75,40.76716955000003,-111.8795504,0.4430379746835443,1.0
17,salt-lake-city,4,C,3,0.0219456,307.29855382425666,13.4112,1487.2,40.76716955000003,-111.8795504,0.4430379746835443,2.0
18,salt-lake-city,4,D,2,0.057912,318.1674407059449,11.176,7690.0,40.76716955000003,-111.8795504,0.4430379746835443,1.0
19,salt-lake-city,5,A,3,-0.016764,320.71160858560324,13.4112,7890.2,40.76500764007456,-111.87963791999998,0.6962025316455697,2.0
